Code ISIN,Code Sicovam,Valeur,symbol
FR0000120404,12040,ACCOR,AC.PA
FR0000120073,12007,AIR LIQUIDE,AI.PA
NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA
LU0323134006,32313400,ArcelorMittal,MT.AS
FR0000120628,12062,Axa,CS.PA
FR0000131104,13110,BNP,BNP.PA
FR0000120503,12050,BOUYGUES,EN.PA
FR0006174348,617434,Bureau Veritas,BVI.PA
FR0000125338,12533,Cap Gémini,CAP.PA
FR0000120172,12017,CARREFOUR,CA.PA
FR0000045072,4507,CREDIT AGRICOLE,ACA.PA
FR0000120644,12064,DANONE,BN.PA
FR0000130650,13065,Dassault Systèmes,DSY.PA
FR0010908533,1090853,Edenred,EDEN.PA
FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA
FR0000121667,12166,EssilorLuxottica,EL.PA
FR0014000MR3,14000,Eurofins Scientific,ERF.PA
FR0000052292,5229,Hermes International,RMS.PA
FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA
FR0000120321,12032,L'Oréal,OR.PA
FR0010307819,1030781,Legrand,LR.PA
FR0000121014,12101,LVMH MOET HENESSY,MC.PA
FR0000121261,12126,Michelin B,ML.PA
FR0000133308,13330,Orange (ex: France Télécom),ORA.PA
FR0000120693,12069,Pernod Ricard,RI.PA
FR0000130577,13057,Publicis Groupe SA,PUB.PA
FR0000131906,13190,Renault,RNO.PA
FR0000073272,7327,Safran,SAF.PA
FR0000125007,12500,SAINT-GOBAIN,SGO.PA
FR0000120578,12057,Sanofi,SAN.PA
FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA
FR0000130809,13080,Société Générale,GLE.PA
NL00150001Q9,150001,Stellantis,STLAM.MI
NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA
FR0000051807,5180,Teleperformance,TEP.PA
FR0000121329,12132,Thales (ex-Thomson CSF),HO.PA
FR0000120271,12027,Total,TTE.PA
FR0000124711,12471,Unibail-Rodamco,UBLB.F
FR0000124141,12414,Veolia Environnement,VIE.PA
FR0000125486,12548,Vinci,DG.PA
