source: https://www.bnains.org/archives/histocac/compocac.php
Liste des 40 valeurs du CAC40 au 31/12/2023,,
Code ISIN,Code Sicovam,Valeur
FR0000120073,12007,AIR LIQUIDE
NL0000235190,5730,Airbus Group (ex-EADS)
FR0010220475,1022047,Alstom
LU0323134006,32313400,ArcelorMittal
FR0000120628,12062,Axa
FR0000131104,13110,BNP
FR0000120503,12050,BOUYGUES
FR0000125338,12533,Cap Gémini
FR0000120172,12017,CARREFOUR
FR0000045072,4507,CREDIT AGRICOLE
FR0000120644,12064,DANONE
FR0000130650,13065,Dassault Systèmes
FR0010908533,1090853,Edenred
FR0010208488,1020848,ENGIE (ex-GDF Suez)
FR0000121667,12166,EssilorLuxottica
FR0014000MR3,14000,Eurofins Scientific
FR0000052292,5229,Hermes International
FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute)
FR0000120321,12032,L'Oréal
FR0010307819,1030781,Legrand
FR0000121014,12101,LVMH MOET HENESSY
FR0000121261,12126,Michelin B
FR0000133308,13330,Orange (ex: France Télécom)
FR0000120693,12069,Pernod Ricard
FR0000130577,13057,Publicis Groupe SA
FR0000131906,13190,Renault
FR0000073272,7327,Safran
FR0000125007,12500,SAINT-GOBAIN
FR0000120578,12057,Sanofi
FR0000121972,12197,Schneider (Ex-Spie Batignolles)
FR0000130809,13080,Société Générale
NL00150001Q9,150001,Stellantis
NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics)
FR0000051807,5180,Teleperformance
FR0000121329,12132,Thales (ex-Thomson CSF)
FR0000120271,12027,Total
FR0000124711,12471,Unibail-Rodamco
FR0000124141,12414,Veolia Environnement
FR0000125486,12548,Vinci
FR0000127771,12777,Vivendi
