Symbol,NumShares
AC.PA,124472.0
ACA.PA,1797607.0
AI.PA,277986.0
AIR.PA,340701.0
BN.PA,366019.0
BNP.PA,596869.0
CA.PA,238967.0
CAP.PA,50457.0
CS.PA,1355267.0
DG.PA,268760.0
DSY.PA,429139.0
EDEN.PA,62215.0
EL.PA,283173.0
EN.PA,190483.0
ENGI.PA,1368859.0
ERF.PA,67189.0
GLE.PA,578397.0
HO.PA,173627.0
KER.PA,23281.0
LR.PA,116593.0
MC.PA,147338.0
ML.PA,301668.0
MT.AS,316017.0
OR.PA,180271.0
ORA.PA,1523496.0
PUB.PA,114975.0
RI.PA,66328.0
RMS.PA,55169.0
RNO.PA,156352.0
SAF.PA,247211.0
SAN.PA,563012.0
SGO.PA,290342.0
STLAM.MI,528423.0
STMPA.PA,157439.0
SU.PA,281458.0
TEP.PA,18062.0
TTE.PA,879290.0
UBLB.F,1435561.0
VIE.PA,362264.0
